p_f_topo,dev_p_f_topo,t,dev_t,s,dev_s,p_i,dev_p_i
0.040,0.001,0.106,0.001,0.02355,0.00005,0.020,0.001
0.100,0.001,0.158,0.001,0.02355,0.00005,0.020,0.001
0.110,0.001,0.161,0.001,0.02355,0.00005,0.020,0.001
0.120,0.001,0.168,0.001,0.02355,0.00005,0.020,0.001
0.130,0.001,0.175,0.001,0.02355,0.00005,0.020,0.001
0.140,0.001,0.180,0.001,0.02355,0.00005,0.020,0.001
0.150,0.001,0.187,0.001,0.02355,0.00005,0.020,0.001
0.160,0.001,0.194,0.001,0.02355,0.00005,0.020,0.001
0.170,0.001,0.197,0.001,0.02355,0.00005,0.020,0.001
0.180,0.001,0.202,0.001,0.02355,0.00005,0.020,0.001
0.190,0.001,0.210,0.001,0.02355,0.00005,0.020,0.001
0.200,0.001,0.213,0.001,0.02355,0.00005,0.020,0.001
0.210,0.001,0.217,0.001,0.02355,0.00005,0.020,0.001
0.210,0.001,0.216,0.001,0.02355,0.00005,0.020,0.001
0.220,0.001,0.224,0.001,0.02355,0.00005,0.020,0.001
0.230,0.001,0.229,0.001,0.02355,0.00005,0.020,0.001
0.240,0.001,0.232,0.001,0.02355,0.00005,0.020,0.001
0.250,0.001,0.238,0.001,0.02355,0.00005,0.020,0.001
0.260,0.001,0.242,0.001,0.02355,0.00005,0.020,0.001
0.270,0.001,0.244,0.001,0.02355,0.00005,0.020,0.001
0.280,0.001,0.250,0.001,0.02355,0.00005,0.020,0.001
0.290,0.001,0.253,0.001,0.02355,0.00005,0.020,0.001
0.300,0.001,0.256,0.001,0.02355,0.00005,0.020,0.001
0.350,0.001,0.279,0.001,0.02355,0.00005,0.020,0.001
0.400,0.001,0.297,0.001,0.02355,0.00005,0.020,0.001
0.450,0.001,0.312,0.001,0.02355,0.00005,0.020,0.001
0.500,0.001,0.329,0.001,0.02355,0.00005,0.020,0.001
0.530,0.001,0.337,0.001,0.02355,0.00005,0.020,0.001
0.550,0.001,0.345,0.001,0.02355,0.00005,0.020,0.001
0.600,0.001,0.361,0.001,0.02355,0.00005,0.020,0.001
0.650,0.001,0.375,0.001,0.02355,0.00005,0.020,0.001