p_f_topo,dev_p_f_topo,t,dev_t,s,dev_s,p_i,dev_p_i,h,dev_h,v,dev_v,a,dev_a,invariant,dev_invariant
0.04,0.001,0.106,0.001,0.02355,5e-05,0.02,0.001,0.031775,0.002025,1.290322580645161,0.10694588969823099,1.0919695276268335,3.1074403647447837,-1.5955376986421028,0.47788970453604795
0.1,0.001,0.158,0.001,0.02355,5e-05,0.02,0.001,0.09177500000000001,0.002025,1.7647058823529425,0.4458477508650524,-5.767012687427988,38.969080519558915,-4.172722029988485,8.749711427919896
0.11,0.001,0.161,0.001,0.02355,5e-05,0.02,0.001,0.10177499999999999,0.002025,1.5789473684210558,0.3793628808864271,4.61680517082168,31.246793885298075,-1.5533240997230244,7.57697100119876
0.12,0.001,0.168,0.001,0.02355,5e-05,0.02,0.001,0.111775,0.002025,1.3580246913580247,0.08353147386069197,5.856583971700991,4.217073247829123,-0.5349917154643016,1.1933214976542836
0.13,0.001,0.175,0.001,0.02355,5e-05,0.02,0.001,0.12177500000000001,0.002025,1.6666666666666667,0.2050925925925926,-1.4005602240896677,18.39784279724963,-3.1188842203548166,5.170108857486353
0.14,0.001,0.18,0.001,0.02355,5e-05,0.02,0.001,0.13177500000000003,0.002025,1.6666666666666676,0.20509259259259266,6.645401382243398,17.37704982899309,-1.0263822434875327,5.290277333337858
0.15,0.001,0.187,0.001,0.02355,5e-05,0.02,0.001,0.141775,0.002025,1.7647058823529413,0.22292387543252595,18.881626724763976,11.45964884245745,2.2396984065957524,4.11264416609949
0.16,0.001,0.194,0.001,0.02355,5e-05,0.02,0.001,0.15177500000000002,0.002025,1.7142857142857144,0.21367346938775508,17.31601731601732,18.012203044670585,2.317501546072976,6.270328856526216
0.17,0.001,0.197,0.001,0.02355,5e-05,0.02,0.001,0.16177500000000003,0.002025,1.8181818181818181,0.23292011019283745,5.611672278338909,15.257277224168357,-1.4901285583103876,5.806201537489991
0.18,0.001,0.202,0.001,0.02355,5e-05,0.02,0.001,0.171775,0.002025,2.0,0.26833333333333337,2.9048656499637135,17.196927266024627,-3.002033405954966,6.993102401458447
0.19,0.001,0.21,0.001,0.02355,5e-05,0.02,0.001,0.18177500000000002,0.002025,2.272727272727273,0.39070247933884317,25.38370720188885,29.779243778653424,4.062957497048344,12.704968450528208
0.2,0.001,0.213,0.001,0.02355,5e-05,0.02,0.001,0.19177500000000003,0.002025,1.8518518518518516,0.28717421124828535,6.734006734006696,21.051411987438925,-0.8465269983788635,9.165149984863392
0.21,0.001,0.217,0.001,0.02355,5e-05,0.02,0.001,0.201775,0.002025,1.8518518518518527,0.2871742112482854,-4.111937128241321e-14,21.864197530864203,-3.429355281207153,9.886905103388713
0.21,0.001,0.216,0.001,0.02355,5e-05,0.02,0.001,0.201775,0.002025,2.272727272727269,0.3907024793388423,-5.903187721369587,31.827860746101585,-7.5475206611570265,14.64396147499194
0.22,0.001,0.224,0.001,0.02355,5e-05,0.02,0.001,0.21177500000000002,0.002025,1.999999999999999,0.32199999999999995,18.23361823361822,26.277018855366435,3.722849002849002,12.491477490036607
0.23,0.001,0.229,0.001,0.02355,5e-05,0.02,0.001,0.22177500000000003,0.002025,1.999999999999999,0.32199999999999995,25.92592592592577,28.644375857338808,7.499444444444381,14.098212911522626
0.24,0.001,0.232,0.001,0.02355,5e-05,0.02,0.001,0.23177499999999998,0.002025,2.142857142857142,0.297704081632653,8.116883116883237,28.000699246640792,-0.8292555658626495,14.288472147972227
0.25,0.001,0.238,0.001,0.02355,5e-05,0.02,0.001,0.241775,0.002025,2.307692307692307,0.3332840236686391,16.88555347091925,22.058784395031115,2.8395655938807574,12.273145641168236
0.26,0.001,0.242,0.001,0.02355,5e-05,0.02,0.001,0.25177499999999997,0.002025,2.499999999999997,0.37708333333333316,22.727272727272798,22.235537190082653,5.194318181818232,13.174166873278235
0.27,0.001,0.244,0.001,0.02355,5e-05,0.02,0.001,0.261775,0.002025,2.4999999999999996,0.3770833333333334,21.00840336134458,19.880599298542954,4.748949579831956,12.378988463032275
0.28,0.001,0.25,0.001,0.02355,5e-05,0.02,0.001,0.271775,0.002025,2.4390243902438993,0.21775728732897048,11.637019972926105,11.666473380274569,0.3764622300793601,7.450672206636008
0.29,0.001,0.253,0.001,0.02355,5e-05,0.02,0.001,0.28177499999999994,0.002025,2.545454545454546,0.16619834710743805,6.493506493506552,9.205669871254285,-2.819923258559592,6.060254633427373
0.3,0.001,0.256,0.001,0.02355,5e-05,0.02,0.001,0.29177499999999995,0.002025,2.6470588235294117,0.13741349480968856,4.543952412425673,7.276473516881747,-4.355296984953911,4.992072335862666
0.35,0.001,0.279,0.001,0.02355,5e-05,0.02,0.001,0.34177499999999994,0.002025,2.784810126582278,0.1217673449767665,7.71843161469595,4.518289799536196,-2.4792335108897863,3.7979345112691583
0.4,0.001,0.297,0.001,0.02355,5e-05,0.02,0.001,0.391775,0.002025,2.857142857142857,0.11624149659863942,7.853257853257838,3.762032312232111,-2.0098451152022703,3.643783235975961
0.45,0.001,0.312,0.001,0.02355,5e-05,0.02,0.001,0.441775,0.002025,2.8089887640449454,0.10862896098977409,4.306114682849689,5.083232876538604,-4.085750248498908,5.119005234271529
0.5,0.001,0.329,0.001,0.02355,5e-05,0.02,0.001,0.49177499999999996,0.002025,3.0487804878048794,0.12375074360499713,4.148656992899075,5.5114592556410384,-5.214650877453875,6.192175516615504
0.53,0.001,0.337,0.001,0.02355,5e-05,0.02,0.001,0.521775,0.002025,3.2051282051282044,0.13410585141354367,3.855793329477562,5.086372009943593,-6.249133682332035,6.183152367637582
0.55,0.001,0.345,0.001,0.02355,5e-05,0.02,0.001,0.541775,0.002025,3.030303030303034,0.30638200183654773,6.7064929169117775,12.982543898792295,-1.9159160553439918,15.951257355041085
0.6,0.001,0.361,0.001,0.02355,5e-05,0.02,0.001,0.5917749999999999,0.002025,3.1250000000000018,0.32187500000000036,2.3818597560975756,14.074670722412282,-6.946574885670725,18.67944181552325
0.65,0.001,0.375,0.001,0.02355,5e-05,0.02,0.001,0.641775,0.002025,3.157894736842107,0.2727839335180058,-1.2429860075288774,10.773046235437038,-11.567733858938771,15.555623484728896
